client_id,Variation,gendr,generation
6269744,Test,F,millenial
7647131,Control,M,baby boomers
3887101,Control,U,baby boomers
7193330,Control,M,millenial
7705792,Control,M,silent generation
6670096,Control,M,baby boomers
2991849,Control,F,generation x
8430470,Test,U,millenial
80801,Test,M,millenial
3194104,Test,U,millenial
4935884,Test,M,generation x
7764976,Control,U,millenial
4908184,Control,U,millenial
827141,Test,F,baby boomers
6913812,Control,M,baby boomers
9423283,Test,F,generation x
5567976,Control,F,generation x
6505265,Control,U,millenial
6159840,Test,F,baby boomers
5336150,Control,U,generation x
6140457,Test,F,baby boomers
94510,Control,M,generation x
1244717,Control,F,baby boomers
3875281,Control,M,baby boomers
9667497,Test,M,millenial
1655833,Test,M,baby boomers
7732508,Test,U,millenial
5711682,Control,U,millenial
4417332,Test,M,baby boomers
1713017,Test,U,generation x
2393856,Control,F,baby boomers
196988,Test,M,generation x
3076748,Test,M,baby boomers
4839092,Test,U,millenial
4543846,Test,U,baby boomers
9098523,Control,F,millenial
6345064,Test,F,generation x
4245790,Control,U,baby boomers
8398351,Control,F,millenial
6543689,Test,M,generation x
2703662,Test,U,generation x
68116,Control,F,millenial
6705940,Control,F,millenial
1271013,Test,F,millenial
8157020,Test,F,generation x
667612,Control,M,generation x
7591418,Control,F,generation x
2692743,Test,F,baby boomers
9010408,Control,U,baby boomers
669732,Test,M,baby boomers
6704890,Control,F,generation x
6560370,Test,F,generation x
2396230,Test,F,generation x
1931445,Control,F,generation x
4160315,Control,U,baby boomers
1197,Control,U,millenial
8787218,Control,M,baby boomers
9547432,Test,U,millenial
2416805,Control,F,baby boomers
9725805,Control,F,baby boomers
7236024,Test,F,baby boomers
4628731,Control,M,generation x
9571993,Control,M,baby boomers
2640314,Test,F,millenial
3193675,Test,F,generation x
3091404,Test,M,millenial
9862185,Control,F,baby boomers
8752770,Test,M,baby boomers
7787397,Control,U,millenial
6938105,Control,M,baby boomers
2734296,Test,M,baby boomers
978616,Test,F,baby boomers
3686557,Control,M,millenial
3428853,Control,U,baby boomers
3394368,Control,F,generation x
1682654,Control,M,millenial
5640288,Control,F,millenial
6109803,Control,F,baby boomers
3711153,Control,U,baby boomers
7182233,Control,F,millenial
9487202,Test,U,generation x
3984596,Test,U,millenial
3559978,Control,U,generation x
4641836,Control,M,millenial
7217082,Control,U,millenial
4582944,Test,M,baby boomers
546146,Control,M,generation x
4921377,Test,F,silent generation
4749697,Control,U,baby boomers
6667040,Test,M,generation x
2070486,Control,U,millenial
2099826,Test,U,baby boomers
7655690,Test,F,generation x
2319234,Control,M,millenial
8369773,Test,F,baby boomers
7427959,Test,M,generation x
5998955,Test,M,millenial
4932323,Test,M,generation x
1652025,Control,M,baby boomers
3047764,Control,M,millenial
3373207,Test,U,baby boomers
7529460,Control,U,generation z
4346589,Control,U,generation x
2035055,Test,M,baby boomers
8343668,Control,F,baby boomers
2850748,Control,U,baby boomers
4010608,Test,M,baby boomers
8442225,Control,F,millenial
6982528,Test,M,silent generation
6636518,Test,M,generation x
359922,Test,F,millenial
9194819,Control,M,baby boomers
9508791,Test,M,baby boomers
635924,Test,U,generation x
3968514,Control,U,generation x
1557476,Control,M,millenial
1834267,Control,F,millenial
3952148,Control,U,generation x
4816956,Test,U,millenial
5600574,Control,F,millenial
9639038,Test,M,millenial
5935929,Test,M,generation x
4876243,Test,U,baby boomers
7723675,Test,F,baby boomers
7048275,Test,F,generation x
9956933,Control,F,millenial
5468964,Control,U,millenial
5076919,Test,F,millenial
5777055,Test,M,baby boomers
59802,Test,M,generation x
1216815,Test,M,millenial
8150683,Test,M,generation x
9675198,Control,U,generation x
1553793,Control,M,generation x
3384298,Control,U,millenial
3055755,Control,F,generation x
7501794,Control,M,generation x
4899808,Control,U,generation x
8691779,Test,F,baby boomers
183855,Control,M,generation x
1752038,Control,F,silent generation
3174146,Control,U,generation x
5998492,Test,U,millenial
1515775,Control,M,baby boomers
7922721,Control,F,baby boomers
4962051,Test,U,baby boomers
5931176,Test,M,generation x
6511525,Control,M,silent generation
3270995,Control,U,generation x
9958200,Test,F,generation x
7555239,Control,M,millenial
5896467,Test,F,baby boomers
2934452,Control,M,generation x
60483,Test,M,baby boomers
8151649,Test,F,baby boomers
9040013,Control,F,baby boomers
6241542,Test,F,baby boomers
5801673,Test,F,silent generation
2594560,Test,M,baby boomers
9025285,Control,M,millenial
1116542,Control,U,generation x
2822255,Test,M,millenial
7187059,Test,U,generation x
2228464,Control,U,baby boomers
7889341,Test,M,generation x
6210443,Control,M,generation x
1700703,Control,M,millenial
4145296,Test,U,generation x
41199,Test,M,baby boomers
3595800,Test,U,millenial
4355856,Test,F,generation x
4050302,Test,U,millenial
9339804,Test,U,silent generation
400082,Control,M,generation x
5692576,Test,U,millenial
804894,Control,U,millenial
5286680,Test,F,millenial
6134713,Control,F,millenial
8731340,Control,U,generation x
7270372,Control,M,baby boomers
6362415,Control,F,millenial
1542322,Test,U,millenial
7353626,Test,F,millenial
5763294,Test,M,baby boomers
2268780,Control,F,baby boomers
9215075,Control,F,generation x
6174475,Control,F,baby boomers
1365548,Test,U,generation z
5357739,Test,M,generation x
8864633,Control,F,millenial
2239512,Test,M,silent generation
5036356,Control,U,millenial
342322,Test,M,generation x
1494245,Control,F,baby boomers
3571531,Test,M,silent generation
2798922,Test,M,millenial
3826199,Control,F,millenial
3035205,Control,M,millenial
749650,Test,F,baby boomers
5487566,Control,M,baby boomers
1339225,Test,M,generation x
9771196,Control,M,silent generation
1496620,Test,F,generation x
5342133,Control,M,baby boomers
6219717,Test,F,generation x
6976539,Test,F,generation x
8196104,Test,U,baby boomers
2337837,Test,M,millenial
6123944,Test,M,generation x
7548414,Test,M,baby boomers
7013671,Test,M,baby boomers
4738551,Control,U,silent generation
5459128,Test,M,silent generation
3833224,Control,F,generation x
8324479,Control,M,millenial
7673150,Test,U,generation x
4945232,Test,M,baby boomers
5151853,Control,U,generation z
3693187,Test,M,baby boomers
346580,Test,F,millenial
2583349,Control,U,millenial
4109359,Control,U,generation x
4580091,Control,M,baby boomers
2444894,Control,U,millenial
2696301,Test,U,baby boomers
3378508,Control,F,generation x
6411728,Test,F,baby boomers
7555597,Control,F,millenial
6723134,Test,F,baby boomers
3649335,Control,M,generation x
9717121,Test,M,millenial
2057858,Test,F,silent generation
3952291,Control,M,millenial
6145051,Test,F,generation x
6768173,Test,F,millenial
937991,Control,U,millenial
4428861,Test,F,baby boomers
82712,Control,F,baby boomers
6737832,Test,M,millenial
3019756,Control,F,baby boomers
8976019,Test,M,silent generation
8231925,Test,M,millenial
8834411,Control,M,millenial
4828347,Test,M,baby boomers
730546,Test,F,generation x
6948375,Test,M,silent generation
2174418,Control,U,baby boomers
5476413,Control,M,millenial
687186,Control,U,generation x
6911094,Control,U,millenial
2666016,Control,U,millenial
4897073,Test,M,baby boomers
1264053,Control,M,baby boomers
5273168,Control,F,baby boomers
37667,Test,F,millenial
6885626,Test,U,generation x
2403725,Test,U,generation x
7673842,Test,M,generation x
8733552,Control,U,baby boomers
3469137,Test,F,baby boomers
5950877,Control,M,millenial
8085803,Control,M,baby boomers
9978718,Control,F,baby boomers
133565,Control,U,millenial
4722213,Control,U,millenial
6876179,Test,U,baby boomers
8016194,Control,M,generation x
6618457,Control,M,millenial
9212682,Test,M,generation x
7137574,Test,M,baby boomers
8547589,Control,U,baby boomers
1990150,Test,F,baby boomers
7211070,Test,F,baby boomers
5645633,Control,F,baby boomers
644901,Control,F,baby boomers
1779464,Test,M,millenial
552720,Test,U,baby boomers
6311181,Control,M,baby boomers
9460332,Test,M,baby boomers
7612511,Test,M,baby boomers
2532897,Test,F,generation x
2764519,Control,U,millenial
4226423,Test,M,baby boomers
4275669,Control,M,millenial
7301686,Test,F,generation x
7053935,Control,U,millenial
7725213,Control,U,baby boomers
4359043,Test,M,millenial
9726661,Control,U,baby boomers
1649876,Test,U,baby boomers
6233209,Test,M,baby boomers
3072135,Test,U,millenial
603774,Test,F,generation x
3802316,Test,F,millenial
1320603,Control,U,millenial
2693752,Test,M,baby boomers
9898215,Test,F,baby boomers
7055378,Test,M,millenial
2744682,Control,U,millenial
6458159,Test,M,millenial
9651697,Test,M,millenial
4282220,Control,M,baby boomers
8629169,Control,M,generation x
5965304,Control,M,baby boomers
905413,Test,F,generation x
8331532,Test,F,generation x
5315596,Control,M,millenial
6737389,Test,M,baby boomers
915511,Test,M,generation x
3591603,Test,M,generation z
3420276,Control,F,generation x
843378,Test,F,millenial
4508245,Control,M,generation x
6066023,Test,M,millenial
8506661,Control,U,millenial
2925255,Control,M,baby boomers
918073,Test,U,millenial
2411415,Control,U,millenial
7031997,Test,F,baby boomers
6844346,Test,M,baby boomers
4803655,Test,F,generation x
187308,Test,M,baby boomers
5062808,Control,M,millenial
1751041,Control,M,generation x
1129306,Control,M,baby boomers
2234213,Control,U,baby boomers
3242161,Test,U,silent generation
3287155,Control,U,baby boomers
5258191,Test,F,millenial
9847907,Test,M,baby boomers
2788940,Control,U,baby boomers
9955208,Control,M,baby boomers
7923307,Test,F,baby boomers
5618380,Test,F,millenial
5417109,Test,M,baby boomers
7418291,Control,U,baby boomers
7371359,Control,M,generation x
9383656,Test,M,generation x
5025928,Test,U,millenial
1386851,Test,U,millenial
3783662,Control,M,generation x
8974902,Test,F,generation x
2771405,Control,F,millenial
3859023,Test,U,generation x
480111,Control,F,millenial
4013884,Test,F,baby boomers
5097578,Test,M,baby boomers
3909754,Test,F,generation x
272924,Control,M,millenial
2743618,Control,M,baby boomers
9463417,Test,U,millenial
4774355,Control,M,generation x
8514966,Test,M,baby boomers
1185791,Control,M,baby boomers
9915448,Control,F,millenial
2130483,Control,F,baby boomers
641775,Control,M,baby boomers
1008245,Control,F,millenial
8214271,Control,F,baby boomers
7698544,Control,U,millenial
3174168,Test,F,baby boomers
4318832,Test,F,millenial
6986418,Test,U,millenial
6243294,Test,U,baby boomers
4214427,Test,U,baby boomers
613664,Control,M,millenial
1434199,Control,M,generation x
5122438,Test,F,baby boomers
8168349,Test,M,baby boomers
410752,Test,M,generation z
8363319,Control,M,millenial
3776819,Test,F,baby boomers
8134743,Test,U,millenial
9069149,Test,U,baby boomers
409876,Test,U,baby boomers
5580671,Test,M,generation x
9404516,Control,U,millenial
1302582,Test,U,generation x
4246942,Test,M,generation x
4072410,Control,U,millenial
3906451,Test,F,generation x
4538969,Test,F,baby boomers
1197201,Control,U,baby boomers
2331726,Test,F,millenial
8170460,Test,M,generation x
9098276,Test,U,millenial
9587960,Control,F,baby boomers
8951938,Control,F,baby boomers
9957871,Test,F,baby boomers
2101216,Test,U,millenial
7111965,Test,U,millenial
4149922,Test,M,generation x
8865276,Control,U,millenial
4104396,Control,M,generation x
8397383,Test,F,millenial
2066508,Control,M,baby boomers
1099280,Control,F,millenial
8941091,Test,M,baby boomers
1983217,Test,U,generation x
2402695,Test,U,baby boomers
4772230,Control,F,baby boomers
9640237,Test,F,baby boomers
9543750,Test,M,millenial
4207164,Test,M,baby boomers
9366159,Test,M,generation x
1003083,Test,F,baby boomers
2752791,Test,U,millenial
1403894,Test,F,baby boomers
1730118,Control,U,generation x
3431165,Control,U,millenial
5854628,Control,M,baby boomers
3246008,Test,U,generation x
9473567,Control,U,baby boomers
4829813,Test,F,generation x
1647585,Control,U,millenial
3157419,Test,U,millenial
8248501,Control,U,millenial
7562380,Test,M,millenial
9425800,Control,M,baby boomers
5599270,Test,U,baby boomers
3698906,Test,U,generation z
958011,Test,M,generation x
6690600,Test,U,millenial
405201,Control,M,generation x
2117926,Control,M,baby boomers
1424304,Test,U,millenial
7516764,Test,U,baby boomers
5015182,Control,M,baby boomers
4429037,Control,U,baby boomers
1056528,Control,F,baby boomers
1814596,Test,M,generation x
3156446,Test,U,generation x
6599910,Control,F,baby boomers
4790831,Test,M,baby boomers
1409164,Control,U,baby boomers
852300,Test,F,silent generation
1779552,Test,F,millenial
6400340,Test,M,generation x
8553638,Test,M,silent generation
6430556,Control,M,millenial
524152,Control,M,generation x
3534032,Test,M,baby boomers
4032058,Control,U,millenial
2278584,Control,U,generation x
9844613,Control,M,baby boomers
1101193,Test,F,generation x
5770692,Control,M,millenial
440758,Control,M,generation x
2678865,Control,U,millenial
5524988,Test,M,baby boomers
3710626,Test,F,millenial
8445867,Test,M,generation x
2156246,Control,F,generation x
2132645,Test,F,generation x
1332642,Control,U,generation x
9704686,Control,U,millenial
5119615,Test,F,generation x
9232682,Test,M,baby boomers
3328812,Test,F,baby boomers
662234,Control,F,millenial
4408117,Test,F,generation x
6488522,Test,M,baby boomers
5276888,Control,M,millenial
9796007,Control,U,millenial
3617339,Test,U,millenial
5238028,Control,F,silent generation
640390,Test,U,millenial
802392,Test,U,baby boomers
2568361,Test,U,generation x
6574277,Control,F,baby boomers
2007508,Test,U,baby boomers
67925,Test,F,generation x
1604587,Control,F,generation x
5370765,Control,U,millenial
8439704,Control,F,millenial
573143,Test,F,baby boomers
6326668,Test,M,baby boomers
3040274,Control,F,baby boomers
791333,Control,F,baby boomers
11054,Control,M,baby boomers
8707936,Control,F,baby boomers
9609949,Control,M,millenial
4666259,Control,U,millenial
254955,Test,U,generation x
4996294,Test,U,generation z
8659835,Test,U,millenial
116345,Control,F,generation x
4296522,Control,U,baby boomers
5112293,Control,U,millenial
5396054,Control,U,generation z
1745621,Control,F,generation x
1497401,Control,M,millenial
4916142,Control,M,generation x
9583832,Test,U,generation x
1391220,Control,F,millenial
986219,Control,M,baby boomers
5149024,Test,M,silent generation
6167838,Control,U,baby boomers
547427,Control,M,generation x
8701684,Test,U,millenial
175625,Test,U,generation x
6017678,Test,U,baby boomers
3147904,Test,F,baby boomers
2375918,Test,F,generation x
8178704,Test,U,baby boomers
5909675,Test,U,millenial
9312518,Control,M,generation x
1759997,Control,M,baby boomers
4986860,Test,U,baby boomers
5363561,Control,U,millenial
9444789,Control,U,millenial
2969410,Test,U,millenial
8231898,Control,U,generation z
7644663,Control,M,baby boomers
5898344,Test,M,baby boomers
1797742,Test,U,millenial
8245786,Test,U,generation x
5619094,Test,M,silent generation
5016571,Control,U,millenial
8101345,Test,M,baby boomers
6600155,Test,M,generation z
7192763,Control,M,silent generation
8559109,Control,M,generation x
6038525,Test,M,baby boomers
6147140,Control,U,millenial
2186143,Test,F,baby boomers
8704203,Control,M,generation x
3912274,Test,U,generation x
7109374,Control,M,generation x
8462560,Test,M,baby boomers
5564419,Test,M,silent generation
9878739,Test,M,baby boomers
4042089,Control,U,millenial
8099995,Control,F,millenial
4501679,Control,F,millenial
1557537,Control,M,generation x
3475041,Test,F,generation x
1552420,Control,F,millenial
3084223,Control,M,baby boomers
6286096,Test,M,baby boomers
3069573,Test,M,millenial
6069933,Test,F,baby boomers
3489363,Control,U,baby boomers
5314916,Control,U,millenial
8873119,Test,U,millenial
8804582,Control,F,generation x
4245389,Test,F,baby boomers
3631920,Control,M,generation x
8427350,Test,U,baby boomers
8253604,Control,F,generation x
3665178,Control,M,millenial
1778253,Test,U,millenial
491935,Control,U,baby boomers
2345113,Test,F,generation x
3983280,Control,F,generation x
339258,Test,M,generation x
1111086,Control,M,millenial
7802443,Test,M,millenial
3135360,Control,M,baby boomers
1771717,Test,F,generation x
4016160,Test,M,millenial
8235049,Test,M,generation x
777859,Control,U,millenial
3942070,Test,U,generation z
5770458,Control,M,baby boomers
2614999,Control,U,generation x
5754482,Test,F,generation x
9169459,Test,U,baby boomers
8314259,Test,M,baby boomers
9159919,Test,F,generation x
7033293,Control,U,generation z
2421681,Control,M,millenial
4550878,Test,M,silent generation
5650729,Control,M,millenial
7590008,Control,F,baby boomers
9070080,Control,F,generation x
2342626,Control,U,generation x
194066,Test,F,generation x
8256948,Test,F,generation x
7828508,Control,F,millenial
9975849,Control,F,baby boomers
2144401,Control,F,baby boomers
2754680,Control,U,generation x
2378550,Control,M,generation x
1008407,Control,M,generation x
2660545,Control,F,baby boomers
2192499,Control,U,generation x
3432347,Test,F,baby boomers
3282769,Test,F,baby boomers
9854179,Test,M,millenial
7449052,Test,M,millenial
229800,Test,M,generation x
26070,Test,M,millenial
4723047,Control,U,millenial
8319869,Test,F,generation x
5395719,Test,U,baby boomers
2420919,Control,F,baby boomers
9227879,Control,F,silent generation
7873544,Control,F,millenial
8130441,Control,F,generation x
8824795,Test,U,generation x
7121750,Control,U,baby boomers
6427940,Control,U,generation x
2071744,Control,U,millenial
9497286,Test,M,millenial
358223,Test,U,millenial
4632974,Test,U,generation x
3739896,Test,F,millenial
9640084,Control,F,generation x
2809946,Control,F,generation x
6218062,Test,U,millenial
7721395,Test,M,baby boomers
6960692,Control,U,baby boomers
2394796,Control,M,baby boomers
1021867,Test,F,baby boomers
3242609,Test,U,baby boomers
5908066,Test,F,generation x
2450413,Control,U,generation x
4068771,Test,F,generation x
8549831,Control,M,millenial
6965039,Test,M,millenial
2460459,Test,M,millenial
8504008,Test,U,millenial
8766013,Control,F,generation x
9590839,Control,F,generation x
620269,Control,M,generation x
8711355,Test,M,baby boomers
5148264,Control,M,baby boomers
8302339,Control,U,generation x
5256284,Test,F,millenial
7075904,Control,F,generation x
4365422,Test,F,generation x
2098439,Control,M,baby boomers
3805781,Test,M,generation x
6721343,Control,U,baby boomers
3892413,Test,U,silent generation
8624715,Control,M,baby boomers
4236434,Control,F,baby boomers
5418315,Test,F,generation x
7234411,Test,F,silent generation
1914194,Control,F,millenial
3335814,Test,F,generation x
6520360,Test,M,generation x
7591606,Test,U,generation x
5175329,Test,M,baby boomers
5823904,Control,M,millenial
3215110,Control,M,baby boomers
3798398,Control,U,generation x
2967798,Test,M,generation x
2480299,Test,F,generation x
4354856,Test,F,baby boomers
3815811,Control,M,baby boomers
8205909,Test,F,millenial
4213724,Control,F,millenial
1051611,Test,U,baby boomers
4355879,Test,M,generation x
3356132,Control,U,millenial
7167313,Test,M,generation x
9106700,Control,M,generation x
1272601,Test,M,generation x
9456512,Control,F,millenial
6504620,Test,M,baby boomers
7678969,Test,F,baby boomers
460755,Control,U,baby boomers
4653780,Test,F,baby boomers
416018,Control,F,generation x
4496382,Control,U,baby boomers
7935876,Control,U,millenial
9188669,Control,U,baby boomers
3717232,Control,U,millenial
4029062,Control,F,baby boomers
9851640,Test,U,millenial
3043851,Control,U,baby boomers
573355,Test,F,generation x
116693,Control,U,baby boomers
5440461,Test,U,millenial
2975456,Test,F,baby boomers
8564445,Control,U,baby boomers
3815207,Control,U,baby boomers
6946226,Control,M,millenial
4107591,Control,F,baby boomers
9667893,Test,M,generation x
6842495,Test,U,generation x
2566668,Test,M,generation x
7600143,Control,U,millenial
7082928,Control,U,silent generation
3861955,Test,F,baby boomers
8632297,Test,M,millenial
5186330,Control,M,silent generation
9362246,Test,M,baby boomers
3392317,Control,M,millenial
4792942,Control,F,baby boomers
4165514,Control,U,generation x
9748860,Control,F,baby boomers
3155479,Test,M,millenial
6089880,Test,M,baby boomers
1916748,Test,M,millenial
7224021,Test,U,millenial
3635853,Test,U,millenial
1433649,Test,M,baby boomers
2423011,Control,F,baby boomers
2772837,Control,U,generation x
4121001,Test,U,millenial
5394104,Control,U,generation x
7925502,Test,U,generation x
9484526,Test,M,generation x
8064319,Control,M,generation x
772562,Control,M,baby boomers
5773597,Test,M,millenial
8434418,Control,M,generation x
5604246,Test,M,baby boomers
9599581,Control,U,millenial
4404877,Test,M,generation x
3681694,Test,F,millenial
8519232,Test,M,baby boomers
4786356,Control,F,baby boomers
3814240,Control,U,millenial
3084520,Control,U,millenial
3377453,Test,U,generation z
4235655,Control,U,baby boomers
8515670,Control,U,millenial
7048151,Control,F,generation x
8242392,Test,U,generation x
5529655,Control,F,baby boomers
1530517,Test,M,baby boomers
6077287,Control,F,generation x
2727403,Control,M,generation x
8285068,Test,M,baby boomers
4264468,Test,M,generation x
365203,Test,F,millenial
8540263,Test,U,millenial
7632169,Test,U,millenial
907968,Test,U,generation x
8584218,Test,U,millenial
8712807,Test,F,millenial
375492,Control,M,generation x
8998966,Control,U,generation x
1047370,Test,M,baby boomers
6690242,Control,U,millenial
8915203,Test,M,millenial
5360482,Control,M,millenial
7155435,Control,M,silent generation
8446580,Control,M,baby boomers
8329209,Test,M,silent generation
2385262,Control,M,baby boomers
8193081,Control,U,generation x
1534664,Test,M,generation x
7356503,Control,F,baby boomers
8440164,Test,M,baby boomers
1253755,Control,M,baby boomers
2461921,Test,F,generation x
8072875,Control,M,generation x
3549330,Test,U,millenial
1167212,Test,F,millenial
8500269,Control,M,silent generation
3286510,Control,F,millenial
4114730,Test,U,generation x
7036428,Control,M,generation x
1464670,Test,M,millenial
4476550,Test,F,millenial
4178617,Test,U,generation x
9842563,Test,U,baby boomers
4913912,Test,F,millenial
4401660,Control,M,generation x
8640165,Test,M,generation x
5047201,Test,U,millenial
2577435,Control,U,generation z
5477839,Control,U,millenial
1061300,Test,U,baby boomers
5973078,Test,M,silent generation
5262910,Control,M,baby boomers
3933888,Test,F,millenial
1718198,Control,U,generation x
7435030,Control,M,baby boomers
5840984,Control,M,silent generation
1098795,Control,M,generation x
4633937,Control,M,baby boomers
4718233,Control,U,millenial
3598438,Control,M,silent generation
2484214,Test,M,baby boomers
8443908,Control,U,baby boomers
2398368,Test,U,baby boomers
3844266,Test,U,generation x
4542413,Test,F,silent generation
6793485,Test,M,millenial
4123242,Control,M,baby boomers
8787604,Control,M,baby boomers
6941337,Control,F,millenial
7073366,Control,M,baby boomers
3804520,Test,M,generation x
7721482,Test,M,generation x
3957097,Test,U,generation x
497996,Test,F,baby boomers
304915,Test,U,baby boomers
1905509,Control,M,generation x
3060931,Control,M,generation x
7452449,Control,F,baby boomers
1506121,Test,U,millenial
7179755,Control,M,baby boomers
9802021,Control,U,baby boomers
6504017,Control,F,generation x
5297883,Test,M,millenial
3128351,Test,U,millenial
5891980,Control,M,baby boomers
761236,Control,U,millenial
350673,Test,M,generation x
8329806,Control,M,baby boomers
6629347,Control,M,generation x
4109815,Test,M,generation x
6580084,Test,F,baby boomers
618178,Test,M,millenial
4753357,Test,U,millenial
6259324,Test,U,millenial
1309444,Test,F,silent generation
588254,Test,F,baby boomers
7827903,Test,U,millenial
1064769,Test,M,baby boomers
3766077,Control,M,baby boomers
6734072,Control,U,generation x
5565651,Control,U,millenial
5364272,Control,U,generation x
5407437,Control,U,generation x
7801931,Control,M,baby boomers
7756840,Test,F,generation x
8063233,Test,U,generation x
949250,Test,M,baby boomers
3780585,Control,F,generation x
9722784,Control,U,baby boomers
9883616,Control,U,millenial
3243761,Test,M,generation x
4244794,Test,M,baby boomers
8812887,Test,F,millenial
7198052,Test,F,millenial
3081113,Test,U,millenial
8866091,Test,F,millenial
4288601,Test,F,baby boomers
1850777,Control,F,millenial
2158455,Control,U,silent generation
8924055,Test,F,millenial
7004930,Test,F,generation x
4060334,Control,U,millenial
6050066,Test,U,baby boomers
2726724,Control,F,baby boomers
2057492,Control,U,baby boomers
9144084,Test,M,silent generation
2330172,Test,F,millenial
3232830,Test,F,baby boomers
7328008,Test,U,baby boomers
819412,Control,U,millenial
3082498,Test,U,baby boomers
2551175,Control,U,millenial
3001576,Control,M,baby boomers
4112213,Control,M,millenial
8080988,Test,M,baby boomers
4679130,Control,M,generation x
106137,Test,F,generation x
9330032,Control,M,generation x
7190947,Test,F,millenial
7703737,Control,U,millenial
3411294,Test,F,baby boomers
893856,Control,U,generation x
4362459,Test,F,baby boomers
2722728,Test,F,millenial
9117206,Test,M,baby boomers
3339371,Test,U,baby boomers
4952622,Test,F,baby boomers
8806177,Control,M,generation x
8736046,Test,F,generation x
7106140,Test,F,generation x
7995807,Control,F,baby boomers
3342954,Test,M,baby boomers
4669475,Control,F,generation x
1230061,Control,M,generation x
2432885,Control,F,baby boomers
5634806,Control,F,baby boomers
3332995,Test,F,millenial
2458102,Control,U,millenial
2478585,Test,U,generation x
6291263,Control,M,generation x
161127,Control,F,generation x
9794196,Test,M,generation x
5473564,Control,F,silent generation
7159825,Test,U,baby boomers
9494132,Control,M,generation x
7961024,Test,U,generation x
8183191,Test,F,baby boomers
6671813,Test,M,baby boomers
5859609,Test,F,baby boomers
4005175,Control,M,baby boomers
4924036,Control,U,baby boomers
4395425,Control,U,generation z
4177113,Test,M,baby boomers
6032443,Test,M,baby boomers
5484187,Control,F,silent generation
8420201,Test,F,baby boomers
5357905,Control,M,baby boomers
9046131,Control,M,generation x
6642182,Control,U,generation x
2032704,Control,F,millenial
7762280,Test,U,silent generation
2176872,Test,F,baby boomers
9847675,Control,U,baby boomers
5589841,Control,U,baby boomers
20185,Test,F,baby boomers
6081831,Control,F,generation x
9420931,Control,U,millenial
388395,Test,M,baby boomers
1158721,Test,F,millenial
9045071,Test,U,millenial
5293856,Test,U,generation x
8323224,Test,M,millenial
3750666,Control,U,millenial
5862986,Control,U,generation x
8578882,Test,F,generation x
1254086,Control,M,baby boomers
1232986,Test,U,baby boomers
8863351,Test,U,millenial
6126216,Test,M,generation x
568680,Test,U,millenial
2441162,Test,M,baby boomers
3282755,Control,M,millenial
3641229,Test,M,millenial
9100156,Test,F,millenial
9471146,Control,M,millenial
1750910,Control,F,baby boomers
4261163,Test,F,generation x
1554187,Test,M,millenial
8897853,Test,M,silent generation
8635264,Test,U,generation x
8226519,Test,F,baby boomers
2515738,Control,M,millenial
2370481,Control,U,baby boomers
6815832,Control,M,baby boomers
7701830,Control,F,baby boomers
7102016,Test,M,millenial
7670689,Test,F,generation x
1304790,Test,M,generation x
5035620,Test,U,baby boomers
4203907,Control,M,generation x
3941036,Control,M,generation x
2102149,Control,U,baby boomers
6071571,Control,F,baby boomers
9348822,Control,M,baby boomers
2443802,Test,M,generation x
5391755,Control,F,millenial
3939804,Control,F,millenial
3804845,Test,M,silent generation
5610462,Test,U,baby boomers
7402550,Test,F,silent generation
676128,Control,U,millenial
3795202,Test,F,baby boomers
5935308,Test,M,silent generation
5244367,Control,U,millenial
9697821,Test,U,baby boomers
4411577,Control,F,baby boomers
7207332,Test,F,generation x
5377930,Control,F,generation x
8878856,Control,M,millenial
7446763,Test,F,millenial
3750659,Control,U,millenial
2274274,Test,F,baby boomers
7130741,Test,F,baby boomers
9000891,Control,M,baby boomers
6225696,Test,M,millenial
9844262,Test,U,generation x
4730148,Control,M,millenial
3819828,Test,U,generation x
9712676,Control,F,millenial
2723277,Test,U,millenial
208525,Test,M,generation x
2733173,Test,M,millenial
7327373,Test,F,generation x
7655560,Control,F,baby boomers
3361896,Test,U,millenial
8497234,Control,F,millenial
5946478,Control,F,millenial
756571,Control,U,millenial
1223405,Control,U,millenial
6571707,Control,M,silent generation
7988666,Test,U,generation x
9154441,Control,F,baby boomers
3100504,Control,F,baby boomers
1236186,Test,M,baby boomers
4500704,Test,F,silent generation
7221546,Test,U,millenial
4020782,Test,U,millenial
7812877,Test,M,silent generation
6105767,Test,U,generation x
5002400,Control,F,generation x
9358257,Control,F,generation x
7906167,Control,U,baby boomers
2465348,Test,F,generation x
8363789,Test,U,millenial
3741689,Control,F,baby boomers
2211100,Control,F,generation x
4160074,Test,U,millenial
5408240,Control,F,generation x
3694585,Control,F,generation x
1973111,Test,U,baby boomers
2093746,Test,M,baby boomers
4438713,Control,U,baby boomers
6217257,Test,M,silent generation
7723151,Test,U,baby boomers
450423,Test,M,baby boomers
8585300,Test,F,silent generation
9798472,Test,F,baby boomers
8041338,Test,F,generation x
8532134,Test,U,baby boomers
4286204,Control,F,baby boomers
5283991,Control,F,generation x
484375,Control,U,generation x
5821298,Control,F,millenial
8112934,Test,U,baby boomers
2014783,Control,M,generation x
4832252,Test,U,millenial
6606171,Control,U,generation x
4966762,Control,M,millenial
1005952,Control,U,baby boomers
2276962,Test,M,generation x
8364792,Test,F,generation x
6776216,Control,U,generation x
4480951,Control,U,baby boomers
6116234,Test,F,generation x
